Atoms,CSP3,Carbon,FormalCharge,Formula,HBA,HBD,HeavyAtoms,Heteroatoms,MR,MW,NAME,NHOH,NO,Rings,RotBonds,TPSA,WlogP
111,0.38,45,0,C45H50ClN7O7S,11,3,61,16,237.05,867.32,DB11581,3,14,8,13,180.41,8.66
129,0.52,44,0,C44H62N6O17,13,12,67,23,236.04,946.42,DB16303,12,23,2,35,370.07,1.55
65,1.0,17,0,C17H34N4O10,14,10,31,14,101.79,454.23,DB03615,14,14,3,6,262.38,-6.65
86,0.06,34,0,C34H28N6O14S4,16,8,58,24,209.01,872.05,DB09158,10,20,6,9,392.94,6.67
21,0.0,0,0,H2Mg3O12Si4,2,0,19,19,51.01,377.82,DB09511,2,12,0,0,345.0,-4.21
86,0.51,35,0,C35H41N5O5,6,3,45,10,166.53,611.31,DB13345,3,10,8,5,118.21,2.72
69,1.0,18,0,C18H37N5O9,14,10,32,14,108.37,467.26,DB00684,15,14,3,6,268.17,-6.3
83,0.87,30,0,C30H47NO4S,6,1,36,6,144.69,517.32,DB01256,1,5,5,5,92.14,5.25
98,0.62,34,0,C34H50N4O9S,11,2,48,14,179.57,690.33,DB01764,2,13,3,7,184.8,2.27
85,0.66,32,0,C32H43N5O5,6,3,42,10,155.84,577.33,DB11275,3,10,7,5,118.21,2.52
73,0.55,29,0,C29H33FO9S,8,3,40,11,139.4,576.18,DB14703,3,9,5,5,163.65,3.01
85,0.81,31,0,C31H48O6,5,3,37,6,142.55,516.35,DB02703,3,6,4,5,104.06,5.67
99,0.55,38,0,C38H47N5O7S2,10,2,52,14,198.55,749.29,DB06290,2,12,7,8,193.51,5.25
91,0.91,32,1,C32H53N2O4+,5,1,38,6,148.31,529.4,DB00728,1,6,6,5,59.0,4.41
102,0.72,36,0,C36H53N7O6,8,4,49,13,180.59,679.41,DB05521,4,13,5,13,179.56,2.45
85,0.66,32,0,C32H43N5O5,6,3,42,10,155.84,577.33,DB11274,3,10,7,5,118.21,2.52
