Atoms,CSP3,Carbon,FormalCharge,Formula,HBA,HBD,HeavyAtoms,Heteroatoms,MR,MW,NAME,NHOH,NO,Rings,RotBonds,TPSA,WlogP
48,0.29,21,0,C21H21N3O3,5,2,27,6,105.69,363.16,DB12924,2,6,4,4,84.22,3.76
29,0.5,8,0,C8H11N3O6S,5,2,18,10,57.1,277.04,DB16704,3,9,2,3,138.62,-1.36
37,0.6,10,0,C10H17N3O6S,6,6,20,10,71.27,307.08,DB00143,6,9,0,9,197.62,-2.21
44,0.33,18,0,C18H22O4,4,4,22,4,85.28,302.15,DB00179,4,4,2,5,80.92,3.57
33,0.07,14,0,C14H11ClN2O4S,4,3,22,8,79.73,338.01,DB00310,4,6,3,2,117.87,0.92
55,0.36,22,0,C22H24ClFN4O3,7,1,31,9,118.15,446.15,DB00317,1,7,4,8,68.74,4.28
43,0.29,17,0,C17H19N3O3S,5,1,24,7,93.02,345.11,DB00338,1,6,3,5,96.31,2.9
42,0.47,17,0,C17H16F6N2O,3,2,26,9,82.35,378.12,DB00358,2,3,3,2,45.15,4.45
50,0.36,22,0,C22H23ClN2O2,3,0,27,5,106.95,382.14,DB00455,0,4,4,1,42.43,4.89
35,0.12,16,0,C16H14ClN3O,3,1,21,5,85.75,299.08,DB00475,1,4,3,1,50.46,2.95
59,0.71,21,0,C21H31N5O2,6,0,28,7,106.77,385.25,DB00490,0,7,4,6,69.64,2.09
40,0.19,16,0,C16H16ClN3O3S,4,2,24,8,93.9,365.06,DB00524,3,6,3,2,100.88,2.71
52,0.27,22,0,C22H23N3O4,7,1,29,7,111.94,393.17,DB00530,1,7,3,10,74.73,3.41
50,0.33,21,0,C21H23ClFN3O,3,0,27,6,108.5,387.15,DB00690,0,4,3,6,35.91,4.0
20,1.0,3,0,C3H5N3O9,9,0,15,12,37.76,227.0,DB00727,0,12,0,8,157.11,-1.02
40,0.19,16,0,C16H16ClN3O3S,4,2,24,8,92.38,365.06,DB00808,3,6,3,3,100.88,2.08
45,0.24,17,0,C17H20N2O5S,5,3,25,8,94.69,364.11,DB00887,4,7,2,8,127.1,3.04
41,0.53,15,0,C15H21N3O2,4,1,20,5,78.32,275.16,DB00981,1,5,3,1,44.81,1.77
46,0.3,20,0,C20H21ClO4,4,0,25,5,97.26,360.11,DB01039,0,4,2,6,52.6,4.68
39,0.5,14,0,C14H18N6O,7,3,21,7,79.75,286.15,DB01048,4,7,4,4,101.88,1.09
32,0.07,15,0,C15H10ClN3O3,4,1,22,7,83.68,315.04,DB01068,1,6,3,2,84.6,3.04
44,0.35,17,0,C17H17ClN6O3,7,0,27,10,96.38,388.11,DB01198,0,9,4,2,91.76,1.57
40,0.12,16,0,C16H15N2O6P,4,3,25,9,87.04,362.07,DB01320,3,8,3,5,125.98,1.55
47,0.37,19,0,C19H24N2OS,4,0,23,4,98.28,328.16,DB01403,0,3,3,5,41.01,4.5
36,0.18,17,0,C17H11ClF4N2S,2,0,25,8,94.36,386.03,DB01589,0,2,3,2,47.69,5.03
52,0.36,22,0,C22H25ClN2OS,4,1,27,5,113.68,400.14,DB01624,1,3,4,5,52.01,4.24
42,0.11,19,0,C19H16N2O5,5,3,26,7,94.63,352.11,DB04847,3,7,3,5,108.75,2.86
46,0.4,20,0,C20H20FNO3S,5,0,26,6,96.61,373.11,DB06209,0,4,4,5,74.85,3.89
52,0.59,17,0,C17H27N3O4S,6,2,25,8,97.74,369.17,DB06288,3,7,2,7,110.11,1.29
33,0.08,13,0,C13H10ClN3O4S2,6,2,23,10,86.69,370.98,DB06725,2,7,3,2,136.22,2.3
59,0.46,24,0,C24H30N2O2S,5,1,29,5,119.5,410.2,DB06808,1,4,4,7,69.08,4.98
90,0.79,28,0,C28H54N8,8,6,36,8,152.68,502.45,DB06809,6,8,3,4,78.66,0.42
51,0.37,19,0,C19H25N3O2S2,5,0,26,7,108.03,391.14,DB08967,0,5,3,5,77.54,3.49
46,0.2,20,0,C20H17F3N2O4,6,3,29,9,99.84,406.11,DB08976,3,6,3,6,91.68,3.51
24,1.0,6,0,C6H11AuO5S,6,4,13,7,41.36,392.0,DB09121,4,5,1,2,115.45,-2.02
18,1.0,1,0,CH6O8P2Tc,6,0,12,11,27.31,305.86,DB09138,4,8,0,2,209.0,-4.88
20,1.0,6,0,C6F14,0,0,20,14,31.9,337.98,DB09531,0,0,0,3,0.0,4.65
58,0.36,25,0,C25H29NO3,4,0,29,4,115.34,391.21,DB11226,0,4,2,10,59.32,5.78
44,0.26,19,0,C19H20N4O,4,2,24,5,94.43,320.16,DB11793,3,5,4,3,72.94,2.59
49,0.38,21,0,C21H23BrFNO2,3,1,26,5,103.68,419.09,DB12401,1,3,3,6,40.54,4.53
60,0.46,24,0,C24H31N3OS,5,0,29,5,121.81,409.22,DB13213,0,4,4,7,52.09,4.91
119,1.0,38,1,C38H80N+,0,0,39,1,180.93,550.63,DB14143,0,1,0,34,0.0,13.59
26,0.5,4,0,C4H10FeN2O8S,8,4,16,12,42.3,301.95,DB14501,6,10,0,2,215.28,-5.27
40,0.31,16,0,C16H15FN6OS,7,0,25,9,89.51,358.1,DB15669,0,7,4,2,105.04,2.46
44,0.25,16,0,C16H20N4O3S,5,3,24,8,92.69,348.13,DB00214,3,7,2,5,108.57,2.53
46,0.37,19,0,C19H23NO3,4,1,23,4,90.03,313.17,DB00234,1,4,3,6,39.72,3.19
37,0.05,19,0,C19H12O6,6,2,25,6,91.1,336.06,DB00266,2,6,4,2,100.88,2.9
44,0.5,16,0,C16H20FN3O4,5,1,24,8,85.73,337.14,DB00601,1,7,3,4,71.11,1.12
44,0.37,19,0,C19H20FNO3,4,1,24,5,88.18,329.14,DB00715,1,4,4,4,39.72,3.33
55,0.28,25,0,C25H27ClN2,2,0,28,3,117.77,390.19,DB00737,0,2,4,5,6.48,5.56
57,0.46,24,0,C24H29NO3,4,0,28,4,110.13,379.21,DB00843,0,4,4,6,38.77,4.36
42,0.65,17,0,C17H23NO,2,1,19,2,76.48,257.18,DB00854,1,2,4,0,23.47,3.08
51,0.38,21,1,C21H26NO3+,3,0,25,4,97.89,340.19,DB00940,0,4,3,6,35.53,3.95
51,0.36,22,0,C22H24ClN3O,4,0,27,5,110.65,381.16,DB00972,0,4,4,3,38.13,4.3
44,0.41,17,0,C17H19F2N3O3,5,2,25,8,90.44,351.14,DB00978,2,6,3,3,74.57,1.8
51,0.63,19,1,C19H28NO3+,3,1,23,4,88.64,318.21,DB00986,1,4,3,4,46.53,2.46
43,0.41,17,0,C17H20O6,5,2,23,6,82.85,320.13,DB01024,2,6,2,6,93.06,2.73
39,0.17,18,0,C18H14Cl4N2O,3,0,25,7,102.68,413.99,DB01110,0,3,3,6,27.05,6.45
50,0.26,19,0,C19H23N5O3,8,3,27,8,106.52,369.18,DB01157,5,8,3,6,117.54,2.74
32,0.0,14,0,C14H10N2O6,6,4,22,8,74.31,302.05,DB01250,4,8,2,4,139.78,2.91
45,0.83,12,0,C12H25N5O3,4,2,20,8,74.85,287.2,DB01303,2,8,2,2,86.98,-1.18
43,0.0,21,0,C21H15N3O4,6,3,28,7,102.52,373.11,DB01609,3,7,4,4,108.47,3.71
39,0.11,18,0,C18H15ClN2O2S,4,0,24,6,95.76,358.05,DB01628,0,4,3,3,68.3,4.18
56,0.41,22,0,C22H32O2,1,1,24,2,105.09,328.24,DB03756,1,2,0,14,37.3,6.55
44,0.16,19,0,C19H18N2O4S,5,1,26,7,97.73,370.1,DB08439,1,6,3,5,97.65,3.53
41,0.41,17,0,C17H18N6,5,1,23,6,86.33,306.16,DB08877,1,6,4,4,83.18,3.47
39,0.17,18,0,C18H14Cl4N2O,3,0,25,7,102.68,413.99,DB08943,0,3,3,6,27.05,6.45
46,0.14,22,0,C22H19NO4,5,0,27,5,100.68,361.13,DB09020,0,5,3,5,65.49,4.11
28,0.71,7,0,C7H11N3O6S,5,2,17,10,52.58,265.04,DB09060,3,9,2,3,138.62,-1.53
23,0.83,6,0,C6H11FO5,5,4,12,6,36.07,181.06,DB09502,4,5,0,5,97.99,-2.4
44,0.59,17,0,C17H24O3,3,1,20,3,78.65,276.17,DB11201,1,3,2,3,46.53,4.01
50,0.59,17,0,C17H26N2O4S,5,1,24,7,93.32,354.16,DB13273,1,6,2,7,84.09,1.7
22,0.5,6,0,C6H9AlO6,6,0,13,7,37.8,204.02,DB14518,0,6,0,0,120.39,-4.11
57,0.59,22,0,C22H30N2O2S,5,1,27,5,109.49,386.2,DB14881,1,4,4,7,71.62,4.69
42,0.4,15,0,C15H19BrN2O5,4,3,23,8,88.69,386.05,DB15779,3,7,1,7,106.94,1.78
35,0.13,15,0,C15H12I3NO4,4,3,23,8,112.09,650.79,DB00279,4,5,2,5,92.78,3.95
31,0.07,14,0,C14H11NO5,5,2,20,6,71.04,273.06,DB00323,2,6,2,3,100.67,2.55
46,0.53,15,0,C15H23N3O4S,5,2,23,8,86.97,341.14,DB00391,3,7,2,6,110.11,0.56
33,0.08,13,0,C13H11N3O4S2,6,2,22,9,81.68,337.02,DB00469,2,7,3,2,136.22,1.64
44,0.41,17,0,C17H20FN3O3,5,1,24,7,90.51,333.15,DB00487,1,6,3,3,65.78,1.61
49,0.38,21,0,C21H23ClFNO2,3,1,26,5,100.99,375.14,DB00502,1,3,3,6,40.54,4.43
30,0.08,12,0,C12H9N3O5S,7,1,21,9,74.47,307.03,DB00507,1,8,2,4,139.67,2.23
36,0.12,17,0,C17H14O4S,4,0,22,5,83.77,314.06,DB00533,0,4,3,3,68.82,2.56
42,0.41,17,0,C17H18FN3O3,5,2,24,7,88.48,331.13,DB00537,2,6,4,3,74.57,1.58
30,0.36,14,0,C14H9ClF3NO2,2,1,21,7,69.79,315.03,DB00625,1,3,3,0,38.33,4.07
37,0.05,20,0,C20H12O5,5,2,25,5,88.03,332.07,DB00693,2,5,5,0,75.99,3.67
57,0.5,22,0,C22H30N2O2S,4,0,27,5,112.52,386.2,DB00708,0,4,3,8,61.02,4.21
28,0.25,8,0,C8H8F3N3O4S2,5,3,20,12,61.63,330.99,DB00774,4,7,2,1,135.12,0.01
48,0.53,17,0,C17H25N3O2S,3,1,23,6,93.99,335.17,DB00918,1,5,3,6,64.79,2.2
48,0.53,17,0,C17H25N3O2S,3,2,23,6,94.32,335.17,DB00952,2,5,3,5,73.58,2.07
36,0.19,16,0,C16H14N2O4,5,2,22,6,83.25,298.1,DB01025,3,6,3,2,106.42,2.75
55,0.45,22,0,C22H31NO,2,1,24,2,102.72,325.24,DB01036,1,2,2,7,23.47,5.34
45,0.35,20,0,C20H21FN2O,3,0,24,4,90.91,324.16,DB01175,0,3,3,5,36.26,3.81
28,0.62,8,0,C8H12N4O4,8,3,16,8,52.32,228.09,DB01262,4,8,2,2,123.49,-2.14
45,0.26,19,0,C19H20ClNO4,3,2,25,6,96.27,361.11,DB01393,2,5,2,7,75.63,3.55
32,0.07,15,0,C15H11N3O3,4,1,21,6,78.67,281.08,DB01595,1,6,3,2,84.6,2.38
43,0.24,17,0,C17H18N2O5S,5,2,25,8,92.74,362.09,DB02925,3,7,3,5,118.31,2.42
7,0.0,0,0,Fe3O4,0,0,7,7,2.75,231.78,DB06215,0,4,0,0,114.0,-0.48
19,0.5,6,0,C6H5GaO7,7,1,14,8,34.96,255.93,DB06784,1,7,0,5,140.62,-5.63
58,0.5,22,0,C22H34O2,2,0,24,2,104.94,330.26,DB08887,0,2,0,14,26.3,6.47
51,0.32,22,0,C22H25N3O,2,2,26,4,105.37,347.2,DB08950,2,4,4,5,48.13,3.6
73,1.0,21,0,C21H46NO4P,4,0,27,6,112.72,407.32,DB09031,0,5,0,20,68.4,5.68
40,0.05,20,0,C20H15NO4,4,3,25,5,92.69,333.1,DB09219,3,5,4,2,78.79,3.37
32,0.25,12,0,C12H11I3N2O4,3,2,21,9,104.94,627.79,DB09346,2,6,1,3,86.71,3.14
54,0.33,24,0,C24H27NO2,3,0,27,3,108.78,361.2,DB09535,0,3,2,9,50.09,5.77
36,0.5,12,0,C12H16BNO5S,5,3,20,8,74.29,297.08,DB12107,3,6,2,5,124.1,0.45
55,0.68,19,0,C19H29N5O2,6,0,26,7,99.65,359.23,DB12184,0,7,3,6,69.64,1.55
26,0.8,10,0,C10H12O4,4,0,14,4,45.21,196.07,DB12328,0,4,3,0,52.6,0.64
42,0.21,19,0,C19H18FN3O,2,3,24,5,92.49,323.14,DB12332,3,4,4,3,56.92,2.98
36,0.29,14,0,C14H14N4O4,6,2,22,8,77.4,302.1,DB12954,2,8,3,4,101.38,-0.62
36,0.23,13,0,C13H15N3O4S,6,1,21,8,77.18,309.08,DB14033,2,7,2,3,114.88,1.62
42,0.27,15,0,C15H17N3O6S,6,4,25,10,89.9,367.08,DB14082,4,9,1,9,166.97,-1.01
37,0.8,10,0,C10H20N2S4Zn,4,0,17,7,85.77,359.98,DB14193,0,2,0,4,70.66,2.32
40,0.4,15,0,C15H19N5O,4,2,21,6,81.91,285.16,DB14924,2,6,3,3,73.91,1.94
43,0.29,14,0,C14H19N5O4S,8,3,24,10,89.39,353.12,DB15097,6,9,2,5,164.82,1.21
59,0.67,21,1,C21H34NO3+,3,1,25,4,100.01,348.25,DB00219,1,4,2,8,46.53,3.48
52,0.38,21,0,C21H25ClN2O3,4,1,27,6,106.2,388.16,DB00341,1,5,3,8,53.01,3.15
56,0.45,22,0,C22H29N3S2,5,0,27,5,118.97,399.18,DB00372,0,3,4,6,60.32,5.04
29,0.56,9,0,C9H11F2N3O4,7,3,18,9,54.86,263.07,DB00441,4,7,2,2,110.6,-1.29
36,0.07,15,0,C15H13N3O4S,5,2,23,8,83.81,331.06,DB00554,2,7,3,2,107.98,1.58
58,0.46,24,0,C24H30N2O2,3,0,28,4,111.28,378.23,DB00561,0,4,4,6,32.78,3.17
56,0.23,26,0,C26H28N2,2,0,28,2,118.22,368.23,DB00568,0,2,4,6,6.48,5.11
23,0.12,8,0,C8H6N4O5,6,1,17,9,53.2,238.03,DB00698,1,9,2,3,118.05,0.07
27,0.08,13,0,C13H6Cl6O2,2,2,21,8,89.08,403.85,DB00756,2,2,2,2,40.46,6.61
48,0.35,20,0,C20H24N2OS,4,0,24,4,101.78,340.16,DB00777,0,3,3,5,48.85,4.83
46,0.33,21,0,C21H21NO2S,4,0,25,4,100.98,351.13,DB00799,0,3,3,2,64.49,4.43
36,0.18,17,0,C17H12ClF3N2O,2,0,24,7,86.81,352.06,DB00801,0,3,3,2,32.67,4.09
42,0.29,17,0,C17H21NO3,4,4,21,4,82.34,287.15,DB00867,4,4,2,6,72.72,2.35
54,0.41,22,0,C22H28N2O2,4,1,26,4,104.99,352.22,DB00913,2,4,3,6,55.56,3.41
33,0.21,14,0,C14H12N6O,6,2,21,7,77.19,280.11,DB00922,2,7,2,3,113.43,1.36
52,0.43,21,0,C21H26N2OS2,4,0,26,5,111.23,386.15,DB00933,0,3,4,4,68.06,4.9
46,0.33,18,0,C18H21N3O3S,5,1,25,7,97.17,359.13,DB01129,1,6,3,8,96.31,2.99
54,0.41,22,0,C22H28N2O2,3,1,26,4,105.98,352.22,DB01228,1,4,3,6,41.57,4.36
49,0.38,21,0,C21H23N3OS,5,1,26,5,105.03,365.16,DB01608,1,4,4,4,75.8,4.01
38,0.05,20,0,C20H14O4,4,2,24,4,87.95,318.09,DB04824,2,4,4,2,66.76,3.56
52,0.43,21,0,C21H25ClN2O3,4,1,27,6,104.95,388.16,DB04890,1,5,3,8,62.66,4.17
41,0.57,14,0,C14H20ClN3O3,5,1,21,7,80.04,313.12,DB05025,1,6,2,6,72.0,1.08
52,0.33,21,0,C21H26FNO3,4,1,26,5,104.47,358.19,DB09148,1,4,2,12,39.72,4.28
60,0.42,24,0,C24H31NO4,5,1,29,5,115.97,397.23,DB11269,1,5,2,11,66.84,5.21
32,0.5,10,0,C10H13N3O5S,7,0,19,9,67.78,287.06,DB11820,0,8,2,3,114.4,0.64
42,0.18,17,0,C17H15BrF2N4O3,6,3,27,10,98.56,440.03,DB11967,3,7,3,6,88.41,3.01
48,0.58,19,0,C19H26O3,3,0,22,3,87.21,302.19,DB13746,0,3,2,5,43.37,4.0
49,0.43,21,0,C21H24O4,4,0,25,4,95.48,340.17,DB14083,0,4,4,8,43.52,3.57
52,0.45,20,0,C20H30O2,1,1,22,2,95.95,302.22,DB00159,1,2,0,13,37.3,5.99
50,0.86,14,2,C14H30N2O4+2,4,0,20,6,76.95,290.22,DB00202,0,6,0,9,52.6,0.27
54,0.43,21,0,C21H29N3O,3,1,25,4,102.25,339.23,DB00280,2,4,2,8,59.22,3.36
62,0.7,20,0,C20H36N2O3S,4,2,26,6,109.98,384.24,DB00308,2,5,1,14,78.02,4.16
42,0.44,16,0,C16H21N3O2,3,2,21,5,82.53,287.16,DB00315,2,5,3,5,57.36,1.92
45,0.56,16,0,C16H23BrN2O3,4,1,22,6,89.85,370.09,DB00409,1,5,2,6,50.8,2.68
42,0.47,15,0,C15H20N2O4S,4,2,22,7,82.17,324.11,DB00414,2,6,2,4,100.72,2.21
49,1.0,14,0,C14H29NaO4S,4,0,20,6,76.57,316.17,DB00464,0,4,0,11,74.81,0.88
43,0.33,18,0,C18H19F3N2S,3,0,24,6,92.19,352.12,DB00508,0,2,3,4,31.78,5.26
27,0.75,8,0,C8H12N2O4Pt,6,2,15,7,44.5,395.04,DB00526,2,6,3,0,76.66,-0.6
42,0.21,19,0,C19H17Cl3N2S,3,0,25,6,108.11,410.02,DB00639,0,2,3,7,43.12,6.64
48,0.37,19,0,C19H22ClN5O,6,0,26,7,104.17,371.15,DB00656,0,6,4,5,45.78,2.36
53,0.43,21,0,C21H26ClN3OS,5,1,27,6,113.61,403.15,DB00850,1,4,4,6,55.25,3.94
67,0.52,25,0,C25H37NO4,5,4,30,5,120.53,415.27,DB00938,4,5,2,16,81.95,4.11
51,0.3,23,0,C23H27N,1,0,24,1,104.26,317.21,DB01091,0,1,3,4,3.24,5.77
54,0.6,20,0,C20H27N5O2,6,1,27,7,101.76,369.22,DB01166,1,7,4,7,81.93,3.46
52,0.56,18,0,C18H28N2O4,5,3,24,6,94.62,336.2,DB01193,3,6,1,10,87.66,2.37
52,0.38,21,0,C21H25N3O2S,6,1,27,6,109.12,383.17,DB01224,1,5,4,5,73.6,2.86
24,0.83,6,0,C6H12O6,6,5,12,6,37.18,180.06,DB01914,5,6,0,5,118.22,-3.38
52,0.3,20,0,C20H26N4O2,4,4,26,6,104.37,354.21,DB03808,6,6,2,11,118.2,3.27
38,0.31,13,0,C13H17N3O4S,6,1,21,8,80.57,311.09,DB04817,1,7,2,4,92.92,0.77
50,0.63,19,0,C19H27NO3,4,0,23,4,90.13,317.2,DB04844,0,4,3,4,38.77,3.24
36,0.0,15,0,C15H14N2O4S,4,3,22,7,82.66,318.07,DB05015,3,6,2,5,103.88,2.01
41,0.24,17,0,C17H19FN2O2,3,2,22,5,82.67,302.14,DB06654,3,4,2,7,64.35,2.37
56,0.7,20,1,C20H33N2O+,2,1,23,3,95.2,317.26,DB06787,1,3,3,4,23.47,2.85
102,1.0,30,0,C30H62O10,10,1,40,10,156.3,582.43,DB06811,1,10,0,37,103.3,4.05
50,0.81,16,0,C16H27NO6,5,2,23,7,82.65,329.18,DB08872,2,7,1,7,101.93,2.68
42,0.56,16,0,C16H24N2,2,0,18,2,76.34,244.19,DB08944,0,2,1,5,27.03,3.44
38,0.24,17,0,C17H14BrN3O2S,5,1,24,7,96.9,403.0,DB11560,1,5,4,5,93.31,4.24
56,0.43,23,0,C23H29NO3,4,0,27,4,106.52,367.21,DB12278,0,4,3,7,38.77,3.99
40,0.64,11,0,C11H18N2O9,7,5,22,11,69.43,322.1,DB12362,5,11,0,12,175.91,-2.71
25,0.83,6,0,C6H12O7,6,6,13,7,38.75,196.06,DB13180,6,7,0,5,138.45,-3.49
31,0.6,10,0,C10H14CaO6,6,0,17,7,55.6,270.04,DB13800,0,6,0,6,114.4,-2.17
40,0.36,14,0,C14H17N5O3S,8,1,23,9,89.1,335.11,DB14203,1,8,2,7,132.46,3.59
39,0.33,15,0,C15H19N3O2,4,2,20,5,80.19,273.15,DB14921,2,5,2,4,66.89,2.29
35,0.3,10,0,C10H15N2O7P,6,6,20,10,67.85,306.06,DB16171,7,9,1,6,172.15,-0.29
29,0.18,11,0,C11H9I3N2O4,3,3,20,9,100.16,613.77,DB00271,3,6,1,3,95.5,3.12
42,0.28,18,0,C18H19ClN4,4,1,23,5,96.44,326.13,DB00363,1,4,4,0,30.87,3.72
35,0.64,11,0,C11H16N4O4,6,2,19,8,63.77,268.12,DB00380,2,8,2,3,98.82,-2.71
44,0.28,18,0,C18H19N3O3S,6,1,25,7,98.07,357.11,DB00412,1,6,3,7,96.83,2.49
40,0.4,15,0,C15H17FN4O3,6,2,23,8,83.68,320.13,DB00467,2,7,3,3,87.46,0.66
30,0.36,11,0,C11H11F3N2O3,3,1,19,8,61.57,276.07,DB00499,1,5,1,3,72.24,3.21
42,0.58,12,0,C12H21N5O2S2,8,2,21,9,87.81,331.11,DB00585,2,7,1,10,136.87,1.32
28,0.4,10,0,C10H12N2O4,5,2,16,6,56.2,224.08,DB00649,2,6,2,2,84.32,-0.71
41,0.43,14,0,C14H21N3O2S,3,2,20,6,82.24,295.14,DB00669,2,5,2,6,73.58,1.32
51,0.43,21,0,C21H26N2S2,4,0,25,4,110.68,370.15,DB00679,0,2,4,4,57.08,5.89
39,0.16,19,0,C19H16O4,4,1,23,4,87.73,308.1,DB00682,1,4,3,4,67.51,3.61
32,0.08,12,0,C12H11ClN2O5S,5,3,21,9,75.82,330.01,DB00695,4,7,2,5,131.01,1.89
49,0.26,19,0,C19H24N4O2,4,4,25,6,99.76,340.19,DB00738,6,6,2,10,118.2,2.88
43,0.54,13,0,C13H22N4O3S,7,2,21,8,84.4,314.14,DB00863,2,7,1,10,108.88,1.46
26,0.11,9,0,C9H7N7O2S,8,1,19,10,65.67,277.04,DB00993,1,9,3,3,140.72,1.15
41,0.38,16,0,C16H18FN3O3,5,2,23,7,85.88,319.13,DB01059,2,6,3,3,74.57,1.27
37,0.29,17,0,C17H17Cl2N,1,1,20,3,85.78,305.07,DB01104,1,1,3,2,12.03,5.18
39,0.17,18,0,C18H15Cl3N2O,3,0,24,6,97.67,380.02,DB01127,0,3,3,6,27.05,5.8
45,0.32,19,0,C19H20N2O3S,5,1,25,6,97.88,356.12,DB01132,1,5,3,7,93.59,3.16
41,0.62,16,0,C16H23NO,2,2,18,2,73.71,245.18,DB01209,3,2,3,0,46.25,3.11
46,0.59,17,0,C17H25NO3,4,2,21,4,82.97,291.18,DB01210,2,4,2,5,58.56,2.33
49,0.59,17,0,C17H27NO4,5,2,22,5,86.6,309.19,DB01214,2,5,1,7,67.79,2.27
61,0.5,24,0,C24H34N2O,3,0,27,3,114.19,366.27,DB01244,0,3,3,10,15.71,4.83
25,1.0,6,0,C6H13NO5,6,5,12,6,37.95,179.08,DB01296,6,6,1,1,116.17,-3.26
47,0.47,19,0,C19H25NOS,3,1,22,3,93.81,315.17,DB05271,1,2,3,6,51.71,4.27
51,0.61,18,0,C18H26ClN3O3,5,2,25,7,98.48,367.17,DB06480,3,6,3,6,76.82,2.09
36,0.12,16,0,C16H13Cl2NO4,4,2,23,7,88.49,353.02,DB06736,2,5,2,6,75.63,3.91
27,0.0,11,0,C11H6ClN3O6,5,4,21,10,68.7,310.99,DB06794,4,9,1,2,156.59,0.26
39,0.17,18,0,C18H15Cl3N2S,3,0,24,6,104.18,396.0,DB06820,0,2,3,6,43.12,6.52
51,0.35,20,0,C20H25FN2O3,5,1,26,6,102.26,359.19,DB09149,1,5,2,12,52.61,3.68
15,0.5,4,0,C4H3AuNa2O4S,5,0,12,8,26.01,389.92,DB09276,0,4,0,4,105.56,-8.55
26,0.75,8,0,C8H11NO5S,4,1,15,7,49.67,233.04,DB09324,1,6,2,1,100.13,-0.79
30,1.0,7,0,C7H17NO5,6,6,13,6,45.04,195.11,DB09415,6,6,0,6,113.18,-3.36
45,0.3,20,0,C20H22O3,3,0,23,3,91.41,310.16,DB09495,0,3,2,5,43.37,4.45
74,0.88,24,0,C24H44O6,6,0,30,6,118.08,428.31,DB11677,0,6,0,20,78.9,5.9
30,1.0,6,0,C6H14O8S2,8,2,16,10,53.61,278.01,DB11678,2,8,0,7,143.96,-2.34
33,0.25,12,0,C12H11I3N2O5,4,4,22,10,105.28,643.78,DB13444,4,7,1,5,115.73,1.88
37,0.18,17,0,C17H15ClO4,3,1,22,5,83.67,318.07,DB13873,1,4,2,5,63.6,3.81
20,0.5,6,0,C6H7NaO6,6,3,13,7,32.63,198.01,DB14482,3,6,1,2,110.05,-5.6
33,0.09,11,0,C11H12O8P2,4,4,21,10,74.03,334.0,DB14650,4,8,2,4,153.14,2.09
32,0.8,10,0,C10H16N2O3S,3,3,16,6,61.59,244.09,DB00121,3,5,2,5,103.73,0.8
42,0.05,22,0,C22H17ClN2,2,0,25,3,101.84,344.11,DB00257,0,2,4,4,17.82,5.38
36,1.0,10,0,C10H21NO4,5,4,15,5,55.38,219.15,DB00419,4,5,1,4,84.16,-1.45
44,0.26,19,0,C19H21N3O,3,0,23,4,92.5,307.17,DB00425,0,4,3,3,37.61,3.25
49,0.4,20,0,C20H24ClN3S,4,0,25,5,107.58,373.14,DB00433,0,3,4,4,35.02,4.58
54,0.5,20,0,C20H29N3O2,4,1,25,5,102.27,343.23,DB00527,1,5,2,10,54.46,3.49
36,0.06,16,0,C16H14N2O3S,4,1,22,6,83.49,314.07,DB00580,2,5,3,3,94.57,2.96
47,0.25,20,0,C20H22ClN3O,4,2,25,5,104.77,355.15,DB00613,2,4,3,6,48.39,5.18
33,0.06,16,0,C16H11ClN2O3,3,2,22,6,83.59,314.05,DB00628,2,5,3,2,78.76,2.58
48,0.58,19,0,C19H27NO,2,1,21,2,87.74,285.21,DB00652,1,2,3,2,23.47,3.88
26,1.0,6,0,C6H14O6,6,6,12,6,38.2,182.08,DB00742,6,6,0,5,121.38,-3.59
23,0.5,8,0,C8H9NO5,4,2,14,6,42.93,199.05,DB00766,2,6,2,2,87.07,-1.1
52,0.62,21,0,C21H29NO,2,1,23,2,94.09,311.22,DB00810,1,2,4,5,23.47,3.96
47,0.33,21,0,C21H25N,1,0,22,1,96.65,291.2,DB00857,0,1,2,4,3.24,4.88
35,0.12,17,0,C17H12Cl2N4,4,0,23,6,91.9,342.04,DB00897,0,4,4,1,43.07,4.23
29,0.5,10,0,C10H12N4O3,6,2,17,7,58.38,236.09,DB00900,2,7,3,2,93.03,-0.21
41,0.32,19,0,C19H19NOS,3,0,22,3,91.55,309.12,DB00920,0,2,4,0,48.55,4.01
40,0.29,17,0,C17H18N4O,3,1,22,5,84.69,294.15,DB00969,1,5,4,2,53.92,2.41
49,0.32,19,0,C19H24N2O4,5,4,25,6,96.92,344.17,DB00983,4,6,2,9,90.82,2.22
57,0.59,22,0,C22H31NO3,4,1,26,4,103.44,357.23,DB01062,1,4,2,7,49.77,3.34
46,0.33,18,0,C18H23NO4,5,5,23,5,88.65,317.16,DB01102,5,5,2,8,92.95,2.45
36,0.27,15,0,C15H14FN3O3,5,0,22,7,75.28,303.1,DB01205,0,6,3,2,64.43,1.77
41,0.41,17,0,C17H19N5,5,0,22,5,82.84,293.16,DB01217,0,5,2,4,78.29,2.93
50,0.67,18,0,C18H29NO2,3,2,21,3,86.91,291.22,DB01359,2,3,2,6,41.49,3.47
40,0.26,19,0,C19H17ClN2O,2,0,23,4,93.48,324.1,DB01588,0,3,4,3,32.67,3.93
44,0.26,19,0,C19H20N2O3,3,1,24,5,92.54,324.15,DB03585,1,5,3,5,60.85,3.49
43,0.25,20,1,C20H18NO4+,4,0,25,5,92.51,336.12,DB04115,0,5,5,2,40.8,3.1
